id,name,category,method,garnish,history,note,simoxrate,link,imageurl,ingredients
1,"Trinidad Sour","New Era Drinks","Pour all ingredients into a cocktail shaker, shake well with ice, strain into a chilled cocktail glass.",NULL,NULL,NULL,3,"https://iba-world.com/trinidad-sour/","./img/cocktails/IBA-NE-24-Trinidad-Sour.jpg","45 ml Angostura Bitters;30 ml Orgeat Syrup;22.5 ml Fresh Lemon Juice;15 ml Rye Whiskey"
2,Alexander,"The Unforgettables","Pour all ingredients into cocktail shaker filled with ice cubes. Shake and strain into a chilled cocktail glass.","Sprinkle fresh ground nutmeg on top.","The Alexander cocktail was born in London in 1922 by Hery Mc Elhone, at Ciro's Club in honor of a famous bride, at the beginning it was called Panama, Gin was used instead of Cognac and light cocoa cream instead of dark. Throughout its history, Alexander has given rise to many other variations: 1) Grasshopper: This variant is also part of the Iba list and involves the use of creme de menthe verde instead of cognac. 2) Alexandra: Use the light cocoa cream instead of the dark one and replace the nutmeg with cocoa. 3) Alexander's Sister: Use creme de menthe instead of creme de cacao. 4) Alejandro: Replace cognac with rum.",NULL,3,"https://iba-world.com/alexander/","./img/cocktails/IBA-TU-01-Alexander.jpg","30 ml Cognac;30 ml Creme de Cacao (Brown);30 ml Fresh Cream"
3,Americano,"The Unforgettables","Mix the ingredients directly in an old fashioned glass filled with ice cubes. Add a splash of Soda Water. Stir gently.","Garnish with half orange slice and a lemon zest.","The story of the Americano dates back to the second half of the 1800s in Gaspare Campari's bar in Milan. Over the years the cocktail acquires notoriety thanks to some homages from the world of cinema, including James Bond (007 Casino Royale) whose favorite cocktail was, precisely, the Americano. The nickname ""American"" was born when Primo Carnera, a giant Italian boxer, became world heavyweight champion at Madison Square Garden in New York.  When Carnera returned to Italy with the title, he was greeted with this very Italian cocktail which, for the occasion, was called ""Americano"". The Americano entered the IBA Cocktail List only in 1987 but, in reality, it was a cocktail that spread all over Italy during the 1930s.",NULL,6,"https://iba-world.com/americano/","./img/cocktails/IBA-TU-02-Americano.jpg","30 ml Bitter Campari;30 ml Sweet Red Vermouth;A splash Soda Water"
4,"Angel Face","The Unforgettables","Pour all ingredients into cocktail shaker filled with ice cubes. Shake and strain into a chilled cocktail glass.",NULL,"Although the origin of the cocktail is not known, the main hypotheses assume that it was born in the twenties of the twentieth century in France: this thesis would prove the presence of calvados, a liqueur commonly used in France and, in particular, in that period, as an epidemic of phylloxera in European vineyards had limited the production of brandy. On this basis, one of the most frequent hypotheses has it that the cocktail was created by Harry MacElhone, founder of Harry's New York Bar in Paris on July 19, 1919, in honor of the celebrations for the victory of the First World War. The first reliable evidence, however, dates back to 1930 when Harry Craddock included the Angel Face among the recipes of his book ""Savoy cocktail book"". Some sources indicate that the name derives from that of an American gangster active during Prohibition; less likely the dedication to Rick Blaine, the protagonist of Casablanca played by Humphrey Bogart, as the film follows the first testimonies (1942).",NULL,3,"https://iba-world.com/angel-face/","./img/cocktails/IBA-TU-03-Angel-Face.jpg","30 ml Gin;30 ml Apricot Brandy;30 ml Calvados"
5,Aviation,"The Unforgettables","Add all ingredients into a cocktail shaker. Shake with cracked ice and strain into a chilled cocktail glass.","Optional Maraschino Cherry.","Aviation was created in New York at the Walkick hotel by the head bartender Hugo Ensslin while he was writing his book ""Recipes for Mixed Drinks"" (1916) one of the last cocktail books published before the start of American Prohibition. Lately David Wondrich found the aviation recipe in a 1911 magazine, so the recipe is thought to have been born earlier then 1916. In his book Ensslin also indicates the type of Gin to be used ‘El Bart Gin ""and the recipe is made up in addition to gin, with lemon juice, maraschino Luxardo and Creme di Violette. The recipe is found again in Harry Craddock's 1930 Savoy Cocktail Book but without the Creme de Violette, this probably due to the difficulty of finding the violet cream during the post-war period In the 1960s it was still unavailable and therefore, simply, the basic ingredient of the Aviation cocktail was discontinued and the bartenders definitively gave up the characteristic blue color of the drink. The IBA proposes it today in its original version with the creme de violette which is now on the market again. This fragrant ingredient not only gave the mix a sweetly floral taste, but also gave it a beautiful sky blue color.",NULL,4,"https://iba-world.com/692/","./img/cocktails/IBA-TU-04-Aviation.jpg","45 ml Gin;15 ml Maraschino Luxardo;15 ml Fresh Lemon Juice;1 Bar Spoon Creme de Violette"
6,Barracuda,"New Era Drinks","Pour all ingredients into cocktail shaker except the Prosecco, shake well with ice, strain into chilled highball glass filled with ice and top up with Prosecco.","Pineapple and Cherry, optional mint sprig for additional aroma.",NULL,NULL,4,"https://iba-world.com/barracuda/","./img/cocktails/IBA-NE-01-Barracuda.jpg","45 ml Gold Rum;15 ml Galliano;60 ml Fresh Pineapple Juice;1 dash Fresh Lime Juice;Top up Prosecco"
7,"Bee's Knees","New Era Drinks","Stir honey with lemon and orange juices until it dissolves, add gin and shake with ice. Strain into a chilled cocktail glass.","Optionally garnish with a lemon or orange zest.",NULL,NULL,10,"https://iba-world.com/bees-knees/","./img/cocktails/IBA-NE-03-Bees-Knees.jpg","52.5 ml Dry Gin;2 teaspoons Honey Syrup;22.5 ml Fresh Lemon Juice;22.5 ml Fresh Orange Juice"
8,Bellini,"Contemporary Classics","Pour peach puree into the mixing glass with ice, add the Prosecco wine. Stir gently and pour in a chilled flute glass.",NULL,NULL,"Puccini - Fresh Mandarin Orange Juice; Rossini - Fresh Strawberry Puree; Tintoretto - Fresh Pomegranate Juice.",5,"https://iba-world.com/bellini/","./img/cocktails/IBA-CC-01-Bellini-scaled.jpg","100 ml Prosecco;50 ml White Peach Puree"
9,"Between the Sheets","The Unforgettables","Add all ingredients into a cocktail shaker. Shake with ice and strain into a chilled cocktail glass.",NULL,NULL,NULL,3,"https://iba-world.com/between-the-sheets/","./img/cocktails/IBA-TU-05-Between-The-Sheets.jpg","30 ml White Rum;30 ml Cognac;30 ml Triple Sec;20 ml Fresh Lemon Juice"
10,"Black Russian","Contemporary Classics","Pour the ingredients into the old fashioned glass filled with ice cubes. Stir gently.",NULL,NULL,"White Russian - Float fresh cream on the top and stir in slowly.",8,"https://iba-world.com/black-russian/","./img/cocktails/IBA-CC-02-Black-Russian-scaled.jpg","50 ml Vodka;20 ml Coffee Liqueur"
